# Design Points of Design of Experiments,,,,,,
# Latin Hypercube Sampling Design : User-Defined Samples : Random Generator Seed = 0 : Number of Samples = 120,,,,,,
# ,P1 - MiddleChord (m) ,P20 - HalfSpanLeft (m) ,P125 - lift-op,P126 - drag-op,P124 - SinkRate (m^-1) ,P127 - sa-op
Name,P1,P20,P125,P126,P124,P127
1,0.13078125,0.18515625,0.10783393,0.012082224,2.091391307,0.026616863
2,0.16796875,0.17421875,0.11662646,0.013553122,1.905036558,0.031906619
3,0.07828125,0.13203125,0.047458248,0.005645172,5.021681042,0.011822818
4,0.14609375,0.16953125,0.10310758,0.011859404,2.174558619,0.027133868
5,0.08484375,0.17578125,0.071799882,0.008447963,3.378154797,0.016895604
6,0.23578125,0.08515625,0.045819309,0.008106981,5.439523331,0.02309144
7,0.13734375,0.14765625,0.081320881,0.009761697,2.816535027,0.022336446
8,0.23359375,0.12109375,0.081146988,0.011780966,0.024695757,0.031401206
9,0.10015625,0.07890625,0.026559912,0.004035697,9.849352549,0.008960698
10,0.09140625,0.19140625,0.085340571,0.009327317,2.666743273,0.01968269
11,0.11546875,0.11640625,0.051191745,0.006644691,4.685161173,0.01499342
12,0.08921875,0.18671875,0.081641916,0.009482605,2.968749528,0.018748592
13,0.12421875,0.09921875,0.04184525,0.006071901,6.049327066,0.013749812
14,0.17890625,0.10859375,0.05992851,0.008575189,3.981094788,0.02155668
15,0.10890625,0.10703125,0.04391031,0.005838139,5.55086892,0.01306554
16,0.20953125,0.16640625,0.12614645,0.015343528,1.757377881,0.037974761
17,0.20296875,0.09453125,0.049652497,0.008096591,0.024695757,0.021592684
18,0.16359375,0.13828125,0.082012232,0.010310468,2.785107496,0.024844882
19,0.08703125,0.16015625,0.066109837,0.007916888,3.712801037,0.015736471
20,0.08265625,0.14140625,0.052538332,0.006240396,4.494189143,0.013295135
21,0.12203125,0.18359375,0.10065203,0.011274299,2.245577174,0.024720401
22,0.21171875,0.12734375,0.083137649,0.011595621,2.80518054,0.029735358
23,0.09578125,0.19765625,0.09256339,0.00991091,2.416224907,0.021214586
24,0.18546875,0.09140625,0.045178694,0.007280959,0.024695757,0.019051381
25,0.16140625,0.14453125,0.087549635,0.010719023,2.58675083,0.025588109
26,0.17671875,0.07734375,0.034575864,0.005862758,7.312246538,0.01555189
27,0.24671875,0.10546875,0.066212743,0.01053047,3.609215004,0.029325489
28,0.11765625,0.10078125,0.0419685,0.005687359,5.742202425,0.013270704
29,0.19421875,0.08359375,0.040190423,0.006873428,6.283504062,0.018432117
30,0.20515625,0.12421875,0.079263061,0.010980053,2.933867055,0.028126487
31,0.13296875,0.11015625,0.051592073,0.006981456,4.668900895,0.016282225
32,0.21390625,0.12890625,0.086252249,0.01183659,2.68017672,0.030395904
33,0.11984375,0.19921875,0.11008407,0.011993688,2.02295591,0.026348702
34,0.10234375,0.18203125,0.087301962,0.010155858,2.733191139,0.020750149
35,0.22703125,0.10234375,0.060478691,0.009629877,4.005997852,0.026122391
36,0.15703125,0.13359375,0.075878505,0.009648498,3.038390921,0.023082127
37,0.15265625,0.13046875,0.071940881,0.009153547,3.202536744,0.021941347
38,0.13515625,0.16796875,0.096588079,0.011002573,2.320270319,0.024954034
39,0.18109375,0.17265625,0.12231434,0.014130656,1.79031574,0.034043426
40,0.09796875,0.11328125,0.044413843,0.005689192,5.437127318,0.012497037
41,0.19859375,0.09609375,0.050327817,0.008068343,4.882595945,0.021421153
42,0.18328125,0.13671875,0.087117294,0.011357698,2.664554627,0.027480096
43,0.21828125,0.15546875,0.11733634,0.014691631,1.898411724,0.03707333
44,0.17453125,0.10390625,0.055408518,0.007977952,4.307141874,0.020168561
45,0.10453125,0.08046875,0.028418547,0.004202884,8.994728798,0.009512902
46,0.07609375,0.14296875,0.0506566,0.006042908,4.746559174,0.012468838
47,0.09359375,0.11796875,0.044187676,0.005776206,5.570032789,0.012464256
48,0.19640625,0.08984375,0.045165874,0.007469872,5.514937646,0.01991195
49,0.22046875,0.14609375,0.10675797,0.014076352,2.148559875,0.035276411
50,0.18765625,0.17734375,0.12933442,0.015002667,1.695644743,0.036184689
51,0.12859375,0.15078125,0.079005327,0.009499417,2.924154839,0.021400505
52,0.14171875,0.09296875,0.041677651,0.006068579,0.024695757,0.014728155
53,0.20734375,0.13984375,0.095270948,0.012632153,2.408770591,0.031804049
54,0.19203125,0.15703125,0.11090463,0.01352577,2.019398819,0.032887493
55,0.13953125,0.12265625,0.061872517,0.008070841,3.81121902,0.018932868
56,0.08046875,0.11484375,0.039698865,0.004998361,6.148971763,0.010561267
57,0.16578125,0.12578125,0.072566664,0.009501753,3.20824034,0.022954201
58,0.15921875,0.09765625,0.04692526,0.007015067,5.241430475,0.017335799
59,0.12640625,0.19296875,0.11086806,0.012025609,1.988128625,0.026847624
60,0.17015625,0.11953125,0.067794794,0.009116525,3.446853194,0.022450399
61,0.23796875,0.07578125,0.037310114,0.007201459,6.880155551,0.02109428
62,0.15046875,0.18828125,0.12163175,0.013517265,1.811454685,0.030944384
63,0.18984375,0.08203125,0.038805034,0.006559474,6.451801074,0.01768935
64,0.11328125,0.11171875,0.047730839,0.006199845,4.998989709,0.014144903
65,0.10671875,0.18984375,0.094370838,0.010414889,2.393371916,0.022530741
66,0.17234375,0.16484375,0.11188393,0.013334076,2.025286663,0.03094922
67,0.15484375,0.08828125,0.039242985,0.006020759,6.254140495,0.015334907
68,0.14390625,0.13515625,0.072791566,0.009087732,3.160650905,0.021434568
69,0.11109375,0.15390625,0.072043449,0.008730894,3.274428764,0.019013532
70,0.14828125,0.16328125,0.097925197,0.011448929,2.293676405,0.026532738
71,0.13975,0.08375,0.034615388,0.005364562,7.264622773,0.013147248
72,0.17125,0.15625,0.10060378,0.01225674,2.24600933,0.029247176
73,0.08025,0.18125,0.070596429,0.007812225,3.236534592,0.016559254
74,0.15375,0.14875,0.087516806,0.010673463,2.602543633,0.025092289
75,0.08725,0.10375,0.035683672,0.004755395,6.954463346,0.010290522
76,0.23775,0.11375,0.075010746,0.011237116,3.1476105,0.030197939
77,0.15025,0.16625,0.10203812,0.011909628,2.20936878,0.027350963
78,0.23425,0.15125,0.11592665,0.015101845,1.942728834,0.038786964
79,0.10825,0.12125,0.051208962,0.006647696,4.735399328,0.014675439
80,0.09775,0.19875,0.093540829,0.010051561,2.3831477,0.021735091
81,0.12225,0.07625,0.027347646,0.004353914,9.376159914,0.010542653
82,0.09425,0.13625,0.054400694,0.006684438,4.38094777,0.014460402
83,0.13625,0.13125,0.067410625,0.008485851,3.449222588,0.019758923
84,0.18175,0.19125,0.14175426,0.015928083,1.536091686,0.037747169
85,0.11875,0.09875,0.04099095,0.005622276,5.912493252,0.013128617
86,0.21325,0.17375,0.13747148,0.016391627,1.603082873,0.040243371
87,0.20625,0.13875,0.094234719,0.012409957,2.421063499,0.031397522
88,0.16775,0.19375,0.13691721,0.015402879,1.616988461,0.035352151
