# Verification Points,,,,,,
# ,P1 - MiddleChord (m) ,P20 - HalfSpanLeft (m) ,P125 - lift-op,P126 - drag-op,P124 - SinkRate (m^-1) ,P127 - sa-op
Name,P1,P20,P125,P126,P124,P127
1,0.075133768,0.085274824,0.024513794,0.003429198,10.38752334,0.007398259
2,0.115766924,0.138256182,0.065532228,0.008025427,3.587244649,0.017784819
3,0.100557675,0.169081191,0.07756679,0.008937506,3.000782513,0.01900799
4,0.186664093,0.123478351,0.074142629,0.010155603,3.155574707,0.025412685
5,0.141246192,0.199204841,0.12571259,0.013547291,1.732232397,0.030786214
6,0.095386526,0.149504185,0.064411211,0.007950909,3.845753563,0.015995073
7,0.084564828,0.075199543,0.022589162,0.00326587,11.25959217,0.00729881
8,0.232978475,0.132335153,0.094550019,0.013081623,2.439902354,0.034008972
9,0.211651453,0.108001972,0.064421053,0.009678831,3.707280674,0.02549479
10,0.122427865,0.126209479,0.059152715,0.007509156,3.984600962,0.017158865
11,0.180260739,0.147632206,0.097871376,0.012456332,2.384831006,0.029100339
12,0.125794952,0.08889205,0.036079221,0.005273099,6.871567574,0.01253859
13,0.193065318,0.111050028,0.063770455,0.009188266,3.697614252,0.023810329
14,0.210201548,0.085615008,0.043040483,0.007381383,5.775145697,0.020488876
15,0.075266654,0.168082972,0.062945784,0.007378858,3.883987305,0.014471805
